pylint-11148: n=1289 newly_failing=0  61s
pylint-10960: n=1250 newly_failing=0  64s
flask-6093: n=479 newly_failing=0  2s
pylint-11025: n=1252 newly_failing=0  64s
pylint-11287: n=13 newly_failing=0  1s
pylint-11222: n=1291 newly_failing=0  60s
pylint-10823: n=1247 newly_failing=0  62s
sympy-29467: n=76 newly_failing=0  29s
sympy-29851: n=283 newly_failing=0  44s
sympy-29715: n=945 newly_failing=0  93s
sympy-30330: n=951 newly_failing=0  47s
sympy-29368: n=435 newly_failing=0  227s
sympy-28975: n=486 newly_failing=0  116s
xarray-11341: n=6203 newly_failing=0  114s
sympy-30071: n=446 newly_failing=0  166s
# Wider suite on every reference-green run (register row 2)

| case | wider target | tests | newly failing after pico's patch |
|---|---|---|---|
| pylint-10960 | tests/test_functional.py tests/checkers | 1250 | none |
| pylint-11148 | tests/test_functional.py tests/checkers | 1289 | none |
| pylint-11025 | tests/test_functional.py tests/checkers | 1252 | none |
| flask-6093 | tests | 479 | none |
| pylint-11222 | tests/test_functional.py tests/checkers | 1291 | none |
| pylint-11287 | tests/extensions | 13 | none |
| pylint-10823 | tests/test_functional.py tests/checkers | 1247 | none |
| sympy-29368 | sympy/solvers/tests | 435 | none |
| sympy-29467 | sympy/parsing/tests | 76 | none |
| sympy-29715 | sympy/polys/tests | 945 | none |
| sympy-29851 | sympy/functions/special/tests sympy/logic/tests sympy/utilities/_compilation/tests | 283 | none |
| sympy-28975 | sympy/series/tests | 486 | none |
| sympy-30330 | sympy/polys/tests | 951 | none |
| xarray-11341 | xarray/tests | 6203 | none |
| sympy-30071 | sympy/integrals/tests | 446 | none |
