metric,value,unit,source
closed_positions,6400,count,Sec. 6.1
reached_plus_300bps_mfe_within_24h,2765,count,Sec. 6.1
reached_plus_300bps_share,43.2,pct of closed,Sec. 6.1
of_those_closed_negative,49.3,pct of 2765,Sec. 6.1
of_those_kept_at_least_half,13.3,pct of 2765,Sec. 6.1
of_those_positive_but_under_half,37.4,pct of 2765,derived as 100 - 49.3 - 13.3
median_capture_where_upside_existed,2.0,pct,Sec. 6.1
bracket_2pct_4pct_gain_per_position,39.0,bps paired day-clustered,Sec. 6.2
bracket_gain_ci_low,21.3,bps,Sec. 6.2
bracket_gain_ci_high,56.5,bps,Sec. 6.2
bracket_gain_excluding_liquidations,16.6,bps,Sec. 6.2
