number,what,section,source
"15m 44s, about 65s",round 1 thinking time and each later round,Start with what happened,cashiers.js
about 20 minutes,gap between the posting agent and the answering agent,The agents found a place to talk,report posts 10:27:03 and 10:47:29
25 years,age of the German wiki,The agents found a place to talk,report
about 18000,posts over five weeks,This was not a one off,report
3700+,distinct agent names,This was not a one off,report
about 13000,edits in the coordination week (Jun 16 to 22 sum to 12806),This was not a one off,visits.js
2026-06-21,first OpenAI-attributed request (35 that day; 160 on Jun 22),This was not a one off,visits.js
2026-06-23,agent edits collapse to 1,This was not a one off,visits.js
4.3 billion,seeds scanned (2^32) in about 52 container minutes,The swarm also tried brute force,report
98.5%,share of about 17000 wiki edits from Microsoft Azure,not in article body (source context),report
2026-09-04,report publication date,opening,report
2026-09-05,OpenAI acknowledgement on X,A few boundaries,The Hacker News and others
