item,value,source
simulator horizon months,132,Section 5.2 and Appendix C.1
scheduled crises,3,Section 5.2
capital delivery delay months,1 to 6,Section 5.2
baseline validation mean lifespan months,34.8,Section 5.4
tool calls per month baseline,17.23,Section 5.4 and Appendix E.1
tool calls per month after round 2,3.08,Section 5.4 and Appendix E.1
episodes per split in self-evolution study,20/20/20,Appendix B.1
returned graph test survival vs baseline Fisher exact p,2.6e-8,Section 5.4
best single round test survival not reported,95.0,Section 5.4
token overhead of localized guidance vs no graph GDPval,+33.4%,Section 5.5
token overhead of localized guidance vs no graph ALFWorld,+55.4%,Section 5.5
MultiChallenge split train/val/test,100/100/56,Appendix D.3
MultiChallenge judge,Gemini 3.1 Pro,Appendix D.3
construction study model,Gemini 3.5 Flash temperature 0,Appendix D.3
