instance,call_index,path,reason,prior_writes_same_file,prior_looks_same_file,own_shift_lines,next_call,reread_within_2,later_edit_file_ok,later_bash_patch,old_first_line
django__django-12754,35,django/db/migrations/autodetector.py,ambiguous,1,13,1,edit_file,False,True,True,# Depend on all bases
django__django-15037,55,/tmp/repro_inspectdb2.py,not_found,1,5,0,read_file,True,True,True,from django.core.management import call_command
django__django-15161,49,django/db/models/expressions.py,not_found,8,15,7,edit_file,False,True,True,"class Subquery(BaseExpression, Combinable):"
django__django-15563,52,django/db/models/sql/compiler.py,not_found,0,4,0,read_file,True,True,False,query = self.query.chain(klass=Query)
django__django-15973,138,django/db/backends/base/schema.py,not_found,4,20,0,bash,True,True,False,"def _column_default_sql(self, field):"
scikit-learn__scikit-learn-14087,36,sklearn/linear_model/logistic.py,not_found,1,18,0,edit_file,False,True,True,best_indices_C = best_indices % len(self.Cs_)
sphinx-doc__sphinx-7748,33,sphinx/ext/autodoc/__init__.py,ambiguous,4,15,24,edit_file,False,True,True,"if getattr(self, '_additional_sigs', []):"
sympy__sympy-15017,35,sympy/tensor/array/dense_ndim_array.py,ambiguous,0,2,0,read_file,True,True,True,self._rank = len(shape)
sympy__sympy-16792,38,sympy/utilities/codegen.py,ambiguous,1,20,4,bash,True,False,True,# create redundant arguments to produce the requested sequence
sympy__sympy-20428,51,sympy/polys/densearith.py,ambiguous,0,4,0,edit_file,False,True,True,if not c or not f:
