instance,path,call_index,net_line_shift_from_own_earlier_edits
astropy__astropy-13033,astropy/timeseries/core.py,48,11
astropy__astropy-13033,astropy/timeseries/core.py,57,12
astropy__astropy-13033,astropy/timeseries/core.py,74,12
astropy__astropy-13236,astropy/table/table.py,28,-7
astropy__astropy-13453,astropy/io/ascii/html.py,28,2
astropy__astropy-13579,astropy/wcs/wcsapi/wrappers/sliced_wcs.py,29,6
astropy__astropy-13579,astropy/wcs/wcsapi/wrappers/sliced_wcs.py,37,4
astropy__astropy-7671,astropy/utils/introspection.py,30,1
astropy__astropy-8707,astropy/io/fits/header.py,36,3
astropy__astropy-8872,astropy/units/quantity.py,27,-1
django__django-10554,django/db/models/sql/compiler.py,64,1
django__django-11138,django/db/backends/sqlite3/base.py,61,2
django__django-11138,django/db/backends/mysql/operations.py,102,4
django__django-11138,django/db/backends/sqlite3/base.py,113,2
django__django-11138,django/db/backends/sqlite3/base.py,117,2
django__django-11138,django/db/backends/mysql/operations.py,124,8
django__django-11206,django/utils/numberformat.py,8,4
django__django-11206,django/utils/numberformat.py,9,8
django__django-11206,django/utils/numberformat.py,12,4
django__django-11206,django/utils/numberformat.py,24,4
django__django-11265,django/db/models/sql/query.py,70,1
django__django-11265,django/db/models/sql/query.py,101,9
django__django-11276,django/utils/html.py,25,1
django__django-11276,django/utils/html.py,26,1
django__django-11276,django/utils/html.py,28,-8
django__django-11333,django/urls/base.py,26,-1
django__django-11400,django/contrib/admin/filters.py,61,2
django__django-11603,django/db/models/aggregates.py,6,1
django__django-11603,django/db/models/aggregates.py,7,2
django__django-11603,django/db/models/aggregates.py,8,3
django__django-11603,django/db/models/aggregates.py,12,4
django__django-11603,django/db/models/aggregates.py,13,5
django__django-11603,django/db/models/aggregates.py,14,6
django__django-11603,django/db/models/aggregates.py,17,7
django__django-11728,django/contrib/admindocs/utils.py,26,2
django__django-11728,django/contrib/admindocs/utils.py,27,4
django__django-11728,django/contrib/admindocs/utils.py,33,4
django__django-11728,django/contrib/admindocs/utils.py,34,6
django__django-11734,django/db/models/sql/query.py,85,5
django__django-11734,django/db/models/sql/query.py,86,12
django__django-11734,django/db/models/sql/query.py,95,17
django__django-11749,django/core/management/__init__.py,34,7
django__django-11885,/tmp/repro/run.py,32,-1
django__django-11885,django/db/models/deletion.py,44,-1
django__django-11885,django/db/models/deletion.py,46,6
django__django-11885,/tmp/repro/run.py,68,8
django__django-12039,django/db/backends/ddl_references.py,22,2
django__django-12125,django/db/migrations/serializer.py,36,1
django__django-12125,django/db/migrations/serializer.py,37,14
django__django-12125,django/db/migrations/serializer.py,42,14
django__django-12125,django/db/migrations/serializer.py,58,16
django__django-12125,django/db/migrations/serializer.py,76,19
django__django-12125,django/db/migrations/serializer.py,87,19
django__django-12209,django/db/models/base.py,25,1
django__django-12209,django/db/models/base.py,57,1
django__django-12209,django/db/models/base.py,58,-7
django__django-12276,django/forms/widgets.py,14,3
django__django-12754,django/db/migrations/autodetector.py,35,1
django__django-12754,django/db/migrations/autodetector.py,36,1
django__django-12858,django/db/models/sql/query.py,117,5
django__django-12858,django/db/models/base.py,119,23
django__django-13112,django/db/models/fields/related.py,124,1
django__django-13121,django/db/backends/base/operations.py,80,2
django__django-13121,django/db/models/expressions.py,86,9
django__django-13212,django/core/validators.py,41,1
django__django-13212,django/core/validators.py,87,1
django__django-13297,django/views/generic/base.py,45,3
django__django-13297,django/views/generic/base.py,56,1
django__django-13343,django/db/models/fields/files.py,9,1
django__django-13344,django/middleware/cache.py,53,1
django__django-13344,django/middleware/cache.py,54,2
django__django-13346,django/db/models/fields/json.py,51,21
django__django-13406,django/db/models/query.py,75,7
django__django-13406,django/db/models/query.py,76,6
django__django-13406,django/db/models/query.py,77,10
django__django-13406,django/db/models/query.py,78,12
django__django-13406,django/db/models/query.py,88,13
django__django-13406,django/db/models/query.py,89,13
django__django-13406,django/db/models/query.py,108,13
django__django-13406,django/db/models/query.py,112,13
django__django-13406,django/db/models/query.py,141,16
