config,group,max_tokens_per_reply,max_steps,max_errors,temperature,verifiable_reward,human_satisfaction_1to7,note,source
A1,working,,,,,0.67,4.15,,Appendix C Table 6
A2,working,,,,,0.63,4.15,,Appendix C Table 6
A3,working,,,,,0.68,3.24,,Appendix C Table 6
B3,working,,,,,0.68,4.67,,Appendix C Table 6
B4,working,,,,,0.62,4.53,,Appendix C Table 6
B5,working,,,,,0.65,4.25,,Appendix C Table 6
B6,working,,,,,0.62,4.52,,Appendix C Table 6
B7,working,,,,,0.62,3.85,,Appendix C Table 6
working average,working,,,,,0.65,4.17,figure shows this average of the eight working settings,Appendix C Table 6
D6,broken,96,,,,0.20,2.94,reply cut at 96 tokens,Appendix C Table 6
D7,broken,,6,,,0.00,4.64,conversation cut at 6 steps; highest satisfaction among broken configs,Appendix C Table 6
D8,broken,48,,1,1.0,0.00,2.69,48 tokens and quit at first error,Appendix C Table 6
D9,broken,72,12,,,0.02,3.12,72 tokens and 12 steps,Appendix C Table 6
