metric,value,source
port pull requests merged,128,In-place porting strategy
public CLI releases,135,In-place porting strategy
pre-release versions,100,In-place porting strategy
stable versions,35,In-place porting strategy
releases per day (mean),1.3,In-place porting strategy
port pull requests opened per day (mean),1.3,In-place porting strategy
porting window start,2026-05-12,In-place porting strategy
porting window end,2026-08-21,In-place porting strategy
porting window weeks,14.5,In-place porting strategy
pre-release share of npm downloads (trailing 7 days),10.5%,In-place porting strategy
production TypeScript that passed through the port (lines; estimate),430000,What it looked like before
initial plan estimate (lines),130000,What it looked like before
production Rust (lines),832378,In-place porting strategy
Rust unit tests (lines),468689,In-place porting strategy
E2E TypeScript tests (lines),174675,In-place porting strategy
SDK repo E2E tests added (lines; approx),130000,In-place porting strategy
N-API internal exports at peak (2026-08-03),2019,Interop
TypeScript call sites at peak (2026-08-03),3356,Interop
N-API internal exports at completion,0,Interop
